"titles","texts","time.stamp","pushes"
"Re: [問卦] 台男滅絕30%能解決台女母豬化的問題嗎 ","
就一堆母豬眼光高得跟什麼一樣

之前我還在台灣

公司就充滿了30代母豬

外文系尤多，外商除了有技術的人以外，就是外文系的天堂

沒技術，眼光高，脾氣差，跟智障沒兩樣

有點能力的技術人員，待個一兩年就走光，不願跟這些母豬共舞

我記得剛進去，有頭母豬跟我聊天，我看他單身30幾歲，介紹個朋友給她

他說他要又高又瘦又白，長得帥。我評估她的綜合價值後，傳了一張晴空塔照片給她

我知道每個人都想嫁給王子

但她媽的你都已經變成母后年齡了，不曉得還在挑啥小

我記得我跟男同事顆顆笑，討論風情萬種

男同事在SEX版，分享下班的happy生活

機掰母豬，跑去跟母豬人資說，說我男同事在SEX上面PO文

你他媽的，你肉搜人家不講，下班後人家PO啥小你也要管

男同事玩比較開，那也是人家的事情，她也沒騷擾你

我不曉得那群30多歲母豬過去是碰到什麼

好像男同事有一些不合倫理的行為，就要他死

後來男同事確實也被逼走了

30代的單身女生，尤其有點姿色眼光很高那種

請小心呀


--
 ","Thu Jul 18 12:25:04 2019 ","→ → 推 推 推 → → 推  "
"[問卦] 中央山脈是不是沒對手啊？ ","
如題

每次颱風說要直衝台灣

看到台灣中央山脈

都馬上嚇到轉向

完全沒得打

中央山脈是不是沒有對手啊

來一個能打的好嗎

有沒有八卦？

--
 ","Thu Jul 18 12:25:34 2019 ","→ → → → → 噓 推 → → 推 推 推 → 推 推 推 推  "
"Re: [新聞] 和民進黨全面開戰？柯P：有給過機會、現在PTT每天1450 ","
又1450...

現在對你不滿的聲音通通都是1450就是了

你他媽都知道反送中讓你掉民調了

你的157智商總不會想不通為什麼吧

你可以說我有譴責過啊

啊有個屁用啊，今天馬Ｘ九韓Ｏ瑜出來譴責的話，你會相信嗎?

人民看的是你平常的言行好嗎?

整天兩岸一家親、不要刺激對方、他們怎樣是他們的事

跟劉結一見面連直播都只能偷偷來，被抓包還要押著自家小朋友道歉

拜託一下，阿米巴被電還會調整方向，你157被罵就不能稍微想一下為什麼嗎?


--
 ","Thu Jul 18 12:25:48 2019 ","→ → → → 噓 → → → 推 噓 → 推 推 → → → → → 推 → 推 → → → → → → → → → → → → → → 推 →  "
"Re: [問卦] 今天18號,小魏考幾分啊？ ","

師父問：如果你要燒壺開水，生火到一半時發現柴不夠，你該怎麼辦？

有的弟子說趕快去找，有的說去借，有的說去買。

師父說：為什麼不把壺裡的水倒掉一些呢？

世事總不能萬般如意，有舍才有得。

會活的人，懂得兩個字：捨得。

不捨不得，小舍小得，大舍大得。

不墨守成規，不故步自封，才能在變化中求進步；


我覺得啦

不一定要執著台大 也不一定要執著醬料

有時後華梵大學佛學系 也是不錯的選擇！






-----
Sent from JPTT on my Sony H4493.

--
 ","Thu Jul 18 12:26:11 2019 ","推 → 推 推 → 推 推 → →  "
"Re: [新聞] 最新民調！若藍綠對決 蔡英文贏韓國瑜6.3 ","
自由都可以做一個民調

韓蔡對決小英會贏，要柯不要出來選

為什麼柯粉的新聞或媒體，或是柯粉集資也行

做一個柯韓兩人對決的民調

然後差距出來屌打韓蔡對決

讓蔡英文變成姚文智，但最後姚文智還是選到底了

柯粉媒體到底去哪裡了？

--
以你的邏輯，2020蔡不選，柯大概穩上了
講得1124 柯不選姚文智就會上一樣
你把柯換成蔡看看
1124姚民調有超過柯過？啊對不起我忘記民視某節目好像有
國民黨這次派的是韓，棄蔡保柯的確很有可能發生喔
也測試一下蔡在白藍夾擊還剩多少票好了
你一直很想柯不出來，為什麼不要蔡不出來，柯比蔡更容易贏韓欸
你自己都說1124就算柯不出來姚文智也不會上，但小英不出來，柯是很有機會上的啊，柯怎麼可能會是姚文智呢？
是因為他是大dpp的候選人，所以他出來不能叫拉下柯，柯出來就要說拉下蔡
 ","Thu Jul 18 12:12:41 2019 ","→ 推 → → → → → → 噓 → 推 → → → → → → → → → → → → → → → → → → → →  "
"Re: [問卦] 認真問，出社會後要去哪交朋友 ","

認真回 看你是不是住台北

住台北的話西門町有個騎三輪車的阿北

車子上有個廣告

專門提供給出了社會還想交朋友的人一個管道

如果有空的話下午去一趟吧 應該蠻好找的





















記得上來發心得文

因為我也很好奇那到底是在蔥三小的==

--
 ","Thu Jul 18 12:13:29 2019 ","→ 推  "
"[問卦] 阿兩算後宮王嗎 ","
如題

阿肥我最近在重看烏龍派出所啦

看了一陣子發現滿多女角都對阿兩有好感，麗子、麻里愛、早矢、小纏、檸檬

還有一些只出現過沒幾次的角色



阿兩算不算後宮王呢？

--
 ","Thu Jul 18 12:13:46 2019 ","→ → → 推 推 → 推 → 推 → 推 → 噓 → 推 推 推 推  "
"Re: [問卦] 要怎樣才能活的開心呢？（認真有錢喔） ","


認真回

請珍惜身邊你擁有的兩個最棒的東西

就是家人和健康

多陪陪家人，和家人聊天

不要失去家人才在那邊該該叫

然後珍惜你的身體

現在好手好腳能打電動能好好吃飯能工作，請不要視為理所當然

如果哪一天這些都不在擁有的時候

到時候後悔你都來不及

一旦你能珍惜這兩件事情

你看待周遭的一切你全部都會改觀

你也會跟著快樂起來

以上小建議




--
 ","Thu Jul 18 12:14:06 2019 ","→  "
"Re: [新聞] 最近聽過最毒辣語言？ 林飛帆：畢業總要 ","
看這篇風向害我快笑死在廁所馬桶上 很擔心等等警衛會不會來敲門看怎麼了？

人家非凡公子球都傳了
等你各位蟑螂隊友接過來殺球
畢業找工作
馬上帶一波酸爆柯文哲
結果蟑螂們鳥都不鳥
球直接落地 然後狂酸公子

笑死XDDDD
是有沒有這麼恨啦XDDDD
人家現在是甲方的長官了
罩子不放亮一點等等小心被衝康喔

-----
Sent from JPTT on my Sony D6653.

--
 ","Thu Jul 18 12:14:06 2019 ","→ 推 → 噓  "
"[問卦] 颱風沒來 菜價翻倍漲農民賺很大嗎？ ","
颱風沒過來

今天各大新聞在報菜價漲

這是颱風沒來

嚇到農民的價格嗎


農民是不是要發大財了？

--
 ","Thu Jul 18 12:14:28 2019 ","推 → → → 推 推 → 推 → 推 → 推 推 推 → → → → → 推  "
"[問卦] 把咪妃當作女神的有幾%機率是處男？ ","
我們的咪妃最近恢復單身

留言很多騎士們在安慰她

但咪妃明顯就是素顏就很不ok的類型

會把咪妃當女神的有多高的機率是處男啊？

--
 ","Thu Jul 18 12:14:38 2019 ","→ → → 推 → → 推 推 推 → → → 推 → → → 推 推 → → → 推 推 推 推 → 推 → 推 → 噓 推 → → 推 噓 噓 →  "
"[問卦] 大家希望Uber Eats能怎麼進化? ","
UberEats很方便

懶得出門可以在家點餐

但是市場一定會慢慢飽和

有沒有外食族需要的新服務是什麼的八卦

--
 ","Thu Jul 18 12:14:54 2019 ","→ 噓 → → → 推 → → 推 →  "
"[新聞] 台灣第一支啤酒長這樣！這兩天不只能看 還 ","
台灣第一支啤酒長這樣！這兩天不只能看 還可以試喝

聯合報 記者羅建怡╱即時報導

台灣啤酒100歲了！7月27日及28日兩天將在台北啤酒工場召開「台啤100趴」百年啤酒慶祝活動，並復刻重現台灣第一支啤酒「高砂啤酒」的外貌，同時邀請民眾一同品嘗百年前的啤酒風味，舉杯歡慶台灣啤酒百歲生日快樂。

台灣人生活記憶中再熟悉不過的台灣啤酒，今年邁入100年。1919年在台北市八德路台北啤酒工場現址，原為日治時期的高砂麥酒株式會社建廠，並推出台灣第一支啤酒「高砂啤酒」，這也是日治時期台灣唯一的啤酒工廠，與日本北海道札幌啤酒廠齊名。戰後改名為台灣省菸酒公賣局第二啤酒廠，1975年更名為建國啤酒廠，2002年台灣省菸酒公賣局改制為台灣菸酒股份有限公司，再次更名為台北啤酒工場。這裡是台灣唯一橫跨傳統與現代的啤酒廠，也是台灣啤酒的發源地，自1919年創廠至今，整整走過100年。

「台啤100趴」百年啤酒慶祝活動，除了活動獨賣的復刻版百年台啤，台啤全系列同步登場，包括金牌、經典、18天生啤、微醺系列、小麥啤酒等，口味任選，還有百年紀念小酒杯帶回家；另有活動限定首發的經典水波紋後背包、台啤獨家小贈品。此外，現場還規劃有適合閣家同遊的「酒菜市集」，備有非酒精飲料、美食，搭配音樂表演、趣味遊戲等，有吃有喝，還有各種好康優惠。

時間：7/27、7/28的15:00~20:00

地點：台北啤酒工場(台北市中山區八德路二段85號)

資訊：更多台啤100周年慶活動可查台灣啤酒粉絲團




--
 ","Thu Jul 18 12:14:54 2019 ","→ → → → 推 推 噓 推  "
"Re: [新聞] 和民進黨全面開戰？柯P：有給過機會、現在PTT每天1450 ","
我懶得繞來繞去


我送柯市長一句話就好


「閉嘴」


為什麼送這句話 因為時間還沒到 哪個出這種主意


要開嘴 7月底 你可以盡情嘴 整個8月都是你的舞台


韓流問題不是仇恨感 有機會我再公布給大家看










--
 ","Thu Jul 18 12:15:02 2019 ","→ → 噓 → → → → 噓 噓 → → 噓  "
"Re: [問卦] 包租公是不是沒大家想的那麼爽 ","
看出租什麼啊

買停車位來出租

什麼都不用管   說還警衛幫你顧

也不怕人自殺而掉價


要不然買工業區廠房租啊

不用裝潢  若有設備都丟給租客弄就好


買一般住宅出租才是最麻煩的

怕人自殺

租金又不高

又常遇到奧客


--
很少會在大廈停車空間燒吧
 ","Thu Jul 18 12:15:05 2019 ","推 噓  "
"[問卦] 館長敢挑戰戒菸嗎？ ","
安安 大家都知道抽煙對身體不好

但阿館好像有抽煙的習慣

如果今天又有一個人要挑戰館長

而挑戰的內容是誰能先戒菸

館長敢挑戰嗎？

--
 ","Thu Jul 18 12:15:44 2019 ","推 推 → → 推 推 推 推 → 推 推 推 推 → → 推 推 → 推 推 推  "
"[問卦] 美國隊長有月退俸嗎 ","

欸欸

肥宅喇

肥宅好奇了一下

美國隊長從二戰活到現在一百多歲

月退俸可以領多少啊?

而且他是改造過的人 感覺還會活很久

美國是不是要養這隻肥貓


--

優文製造機

廢文終結者

--
 ","Thu Jul 18 12:16:10 2019 ","推 推 → 推 噓 → → → 推 → → → 推 → 推 → 推 推 推 推 推 推 → → 噓 推 推  "
"Re: [新聞] 和民進黨全面開戰？柯P：有給過機會 ","
柯P對中政策就是當初還在演的KMT之路
""外交休兵""
對方挖你邦交國安靜點
對方過你家中線安靜點
對方國際上對私企強硬改成Chinese Taipei安靜點

ex:
柯P住在自己家好好的平時沒事不會喊""這我家""
突然來了一群惡霸天天說""你柯P霸佔我家, 還我""
柯P想說這我家幹嘛回應你 這樣挑釁不好
惡霸天天喊還把拖鞋擺在你家門口
柯P想說反正房子我的不想甩你免得變成挑釁
鄰居很多跟柯P根本不熟
久了一半的人以為柯P才是那個霸著房子不還的人
柯P覺得反正房子是我的誰甩你們
今天柯P突然想要跟鄰居搭個話
鄰居冷不防先說一句: 你房子還人家了嗎

把台灣跟中美化成正三角就是柯P腦子的國際觀
但是連一般遊客都知道
一堆外國人根本連台灣在哪都不知道
嘲諷Taiwan變Thailand不是假的

今天中國天天挑釁台灣
台灣回應為的是讓國際知道事實
被柯P講成挑釁
台灣今天可不是像房子還能拿房契出來
國際上台灣到底認定是否是一個國家根本還處於混亂
不過這也不怪柯P
智商157的人經過KMT黨國教育的洗禮
其實會有這種反應根本不意外
畢竟吸收力比一般人好, 當初KMT國民教育講啥吸收啥
他表現出來的也就是過去KMT講的
反正他撐完他人生剩下的10多年就兩腳一伸
台灣怎樣你們下一代去承擔就好
我嘴巴閉緊緊就好
畢竟過去KMT也是嘴巴閉緊緊撐完沒啥事情發生

--
 ","Thu Jul 18 12:16:29 2019 ","→ 噓 → → 噓 噓 → → → 推 噓 噓  "
"[問卦] 遇到巨乳或露乳溝 鳩竟該不該看 ","

遇到巨乳妹或者乳溝妹

看     直率  色狼

不看   做作  正直


好像看不看都不對

所以遇到巨乳妹或乳溝妹

鳩竟該不該跟隨自己的心大方看下去勒?

有沒掛

--
 ","Thu Jul 18 12:17:15 2019 ","推 → → → → → → 推 推 → → → → → → → → 噓 推 噓 噓 → → 推 → → 推 推 推 推 推 → → → 推  "
"[問卦] 什麼叫法說會 ","


每家上市公司都會辦法說會

股東會資料比較好找

剛剛找了好久法說會是下午 也就是明天很謎

但我不知道法說會是什麼意思

有人知道嗎

--


千杯千杯再千杯

--
 ","Thu Jul 18 12:17:23 2019 ","推 → → 推 推 → → 推 → 推 推 推  "
"Re: [問卦] ovob這麼討厭政治寄生蟲 為啥只針對柯粉 ","

我追教主文10幾年有(之前帳號印象中快5566)

教主沒有啥中心理念正義啥的，教主的想法就是強者，就是勝利者

然後常常看教主都在嗆7年級生是廢物

然後教主又認定柯粉都是廢物

然後教主有說過他爸爸很討厭柯P，教主那年代的很容易受父母影響

教主又是勝利者強者思考，當時柯P順風時，當然就不會出來嗆

柯P現在逆風了，他當然就出來嗆，順便嗆他已經認定是弱者的柯粉
(結果新聞說韓粉才是LOSER，但這還有八卦風向的問題，現在網軍主打柯，所以打柯順風)

你文章都說了 784:19:3

784遠大於3

教主當然會站在784那邊，教主就是強者思考的

他管你是不是網軍，教主也知道是網軍


但那又如何
網軍多到順風，教主自然就靠過去，因為教主本來就是強者思考
而不是公平正義思考

你的假設建立在，教主是追求公平正義的人。但教主不是，教主一直都是強者思考


還有
不管是誰
PO文都想求認同
既然嗆柯粉可以騙到推
那當然就加入啦
我就說教主是強者思考，逆風的事情他不會作
當他的議題逆風時，教主是不可能出來討罵挨的

像現在仇女逆風了
你有看到教主在PO仇女文嗎
當然沒有
不管你喜歡還是討厭教主
你不得不佩服
教主風向很會看

當然你可以罵教主趨炎附勢，但那又如何
教主本來就不是啥追求公平正義的類型啊
他就是追求自己爽，自己當強者，自己當勝利者


再說一次
你文章前提就搞錯了
你文章的邏輯必須建立在教主是追求公平正義的人的情況
問題是教主不是

就這麼簡單

--
是的，原PO前提就已經搞錯了，不是所有人都是公平正義思考
教主更不是，我追他文十幾年有，教主當然是利己主義者
公平正義乾我屁事，我是勝利者才是最重要的；當然這沒有啥對不對
人的個性本來就百百種
我說過啦，我都當教主文章是JOKE版在看的，不管你喜歡還是討厭他，就是有梗啊
雖然隨著時代是越來越沒梗也是事實，畢竟現在只玩二分法，教主那麼會察覺風向
他當然也知道現在長篇大論沒用，不如選對邊才比較有用
就事論事罷了，雖然我知道現在的人喜歡2分法
甚至有人會認為不跟著罵就是舔他；但我還是堅持就事論事
我都說他趨炎附勢，非公平正義思想的人，這樣可以看成舔
也是啦，不跟著罵就是舔的極端2分法的話，那還確實是舔
 ","Thu Jul 18 12:17:56 2019 ","→ 推 → → → → 推 → → → → → → → → → 推 推 → 推 噓 → 噓 → → → → 推  "
